"Facility RPA","Facility Sub Region","Facility WPA","Facility District","Permit","Site Name","Operator","Permit Type","Easting","Northing","Post Code","Form","Basic Waste Cat","EWC Chapter","EWC Sub Chapter","EWC Waste Desc","Waste Code","Site Category","Facility Type","Recorded Destination","Destination WPA","Destination Region","Fate","R and D code","Tonnes Removed","SOC Category","SOC Sub Category"
"East of England","Suffolk","Suffolk","Ipswich","70770","Ipswich Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",615300,244300,"IP1 2DW","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",1.3,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","East Suffolk","71228","Foxhall Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","S0813 : Non-hazardous & hazardous HWA Site",623840,243970,"IP10 0HT","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",0.77,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","East Suffolk","70779","Felixstowe Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",628654,232942,"IP11 3RX","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",1.87,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","70766","Stowmarket Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",604382,259914,"IP14 1JQ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",0.44,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","East Suffolk","70780","Leiston Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",645500,263400,"IP16 4UJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",0.33,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","West Suffolk","70763","Mildenhall Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",572987,275023,"IP28 7JQ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","Non-Haz Waste Transfer","Birmingham","Birmingham City","West Midlands","Recovery","R04",1.51,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","Ipswich","70738","Unity Street Metal Recycling Facility","Ipswich Auto Spares Ltd","A20 : Metal Recycling Site (mixed MRS's)",617310,243777,"IP3 0AP","Solid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","hazardous components other than those mentioned in 16 01 07 to 16 01 11 and 16 01 13 and 16 01 14","16 01 21*","MRS","Metal Recycling","Birmingham","Birmingham City","West Midlands","Recovery","R08",0.28,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","West Suffolk","404549","N 2 S Ltd","Network 2 Supplies Limited","S1515 No 15: 75kte WEEE Treatment Facility",583623,264801,"IP33 3SP","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded electrical and electronic equipment other than those mentioned in 20 01 21, 20 01 23 and 20 01 35","20 01 36","Treatment","WEEE treatment facility","Birmingham","Birmingham City","West Midlands","Recovery","R04",2.424,"08 - Discarded equipment","Discarded electrical and electronic equipment"
"East of England","Suffolk","Suffolk","Babergh","71269","Hadleigh Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",603558,243614,"IP7 6AH","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Gases in pressure containers and discarded chemicals","gases in pressure containers other than those mentioned in 16 05 04","16 05 05","Transfer","CA Site","Birmingham","Birmingham City","West Midlands","Recovery","R04",0.96,"02 - Chemical preparation wastes","Off-specification chemical wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71297","Papermill Lane","Whip Street Motors Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",612936,247839,"IP8 4BY","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","end-of-life tyres","16 01 03","MRS","Car Breaker","Birmingham","Birmingham City","West Midlands","Recovery","R04",255,"07 - Non-metallic wastes","Rubber wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Batteries and accumulators","lead batteries","16 06 01*","MRS","Metal Recycling","Blaenau Gwent","Blaenau Gwent","Wales","Recovery","R04",72.96,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","non-ferrous metal","19 12 03","Transfer","Non-Haz Waste Transfer","Blaenau Gwent","Blaenau Gwent","Wales","Recovery","R05",40.66,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hhold/Ind/Com","15 - PACKAGING, ABSORBENTS , WIPING CLOTHS ETC N.O.S.","Packaging (including separately collected municipal packaging waste)","metallic packaging","15 01 04","Transfer","Haz Waste Transfer","Bristol, City of","Bristol City","South West","Recovery","R04",0.6,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","71095","Masons Material Reclamation Facility","Viridor Waste Management Limited","A15 : Material Recycling Treatment Facility",611500,250000,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","ferrous metal","19 12 02","Treatment","Material Recycling Facility","Buckinghamshire","Buckinghamshire","South East","Recovery","R04",24.48,"06 - Metallic wastes","Ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","71095","Masons Material Reclamation Facility","Viridor Waste Management Limited","A15 : Material Recycling Treatment Facility",611500,250000,"IP6 0NW","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Treatment","Material Recycling Facility","Buckinghamshire","Buckinghamshire","South East","Recovery","R03",14.58,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","103752","Bolton Brothers Recycling Centre ( M R F)","Bolton Brothers Ltd","A15 : Material Recycling Treatment Facility",612145,249716,"IP6 0SL","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11","19 12 12","Treatment","Material Recycling Facility","Buckinghamshire","Buckinghamshire","South East","Recovery","R03",190.3,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","East Suffolk","71416","B & B Skip Hire","B & B Skip Hire Limited","A9 : Hazardous Waste Transfer Station",645144,288505,"NR34 7TL","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","combustible waste (refuse derived fuel)","19 12 10","Transfer","Haz Waste Transfer","Buckinghamshire","Buckinghamshire","South East","Recovery","R13",78.64,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","West Suffolk","403989","West Suffolk Operational Hub","West Suffolk Council","A9 : Hazardous Waste Transfer Station",586212,266365,"IP31 1FE","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11","19 12 12","Transfer","Haz Waste Transfer","Bury","Bury","North West","Recovery","R13",10.32,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","Babergh","403287","Park Wood Autos","Five Star Auto Salvage Ltd","A19 : Metal Recycling Site (Vehicle Dismantler)",606610,246560,"IP7 6PF","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","MRS","Car Breaker","Bury","Bury","North West","Recovery","R04",3.54,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","West Suffolk","70774","Balloon Barn Farm","Culford Waste Ltd","A11 : Household, Commercial & Industrial  Waste Transfer Stn",584100,272100,"IP28 6TY","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","paper and cardboard","19 12 01","Transfer","Non-Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R03",5.56,"07 - Non-metallic wastes","Paper and cardboard wastes"
"East of England","Suffolk","Suffolk","West Suffolk","70774","Balloon Barn Farm","Culford Waste Ltd","A11 : Household, Commercial & Industrial  Waste Transfer Stn",584100,272100,"IP28 6TY","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11","19 12 12","Transfer","Non-Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R03",279.72,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","West Suffolk","70774","Balloon Barn Farm","Culford Waste Ltd","A11 : Household, Commercial & Industrial  Waste Transfer Stn",584100,272100,"IP28 6TY","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","other wastes (including mixtures of materials) from mechanical treatment of wastes other than those mentioned in 19 12 11","19 12 12","Transfer","Non-Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R05",434.82,"10 - Mixed ordinary wastes","Sorting residues"
"East of England","Suffolk","Suffolk","West Suffolk","103340","The Yard","Medley                   James","S0801 : HCI Waste Transfer Station",567827,274872,"IP28 8PS","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","paper and cardboard","20 01 01","Transfer","Non-Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R05",26.2,"07 - Non-metallic wastes","Paper and cardboard wastes"
"East of England","Suffolk","Suffolk","West Suffolk","103340","The Yard","Medley                   James","S0801 : HCI Waste Transfer Station",567827,274872,"IP28 8PS","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Gypsum-based construction material","gypsum-based construction materials other than those mentioned in 17 08 01","17 08 02","Transfer","Non-Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R05",13.26,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Liquid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","antifreeze fluids containing dangerous substances","16 01 14*","Transfer","Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Treatment","D09",98.73,"01 - Chemical compound wastes","Spent solvents"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","Solid","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","oil filters","16 01 07*","Transfer","Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R04",98.797,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","70796","Safetykleen U K","Safety Kleen U K Ltd","A9 : Hazardous Waste Transfer Station",600209,264846,"IP30 9HN","User left blank","Hazardous","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","oil filters","16 01 07*","Transfer","Haz Waste Transfer","Cambridge","Cambridgeshire","East of England","Recovery","R04",247.3,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","MRS","Metal Recycling","Cambridge","Cambridgeshire","East of England","Recovery","R13",20.26,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","RP3432WF","Sacker's Metal Recycling Facility EPR/RP3432WF","Sackers Limited","TM1 : Metal Recycling installation",612320,250360,"IP6 0JB","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Electrical and electronic equipment","components removed from discarded equipment other than those mentioned in 16 02 15","16 02 16","MRS","Metal Recycling","Cambridge","Cambridgeshire","East of England","Recovery","R13",6.76,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","West Suffolk","70776","Haverhill Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",568226,244859,"CB9 7UR","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",11.553,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Babergh","70760","Sudbury Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",585947,240588,"CO10 7HG","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",21.224,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Ipswich","70770","Ipswich Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",615300,244300,"IP1 2DW","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",29.659,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","East Suffolk","71228","Foxhall Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","S0813 : Non-hazardous & hazardous HWA Site",623840,243970,"IP10 0HT","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",69.062,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","East Suffolk","70779","Felixstowe Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",628654,232942,"IP11 3RX","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",20.315,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","70766","Stowmarket Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",604382,259914,"IP14 1JQ","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",24.317,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","East Suffolk","70780","Leiston Household Waste Recycling Centre","F C C Recycling ( U K ) Limited","A13 : Household Waste Amenity Site",645500,263400,"IP16 4UJ","Solid","Hazardous","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","discarded equipment containing chlorofluorocarbons","20 01 23*","Transfer","CA Site","Cambridgeshire","Cambridgeshire","East of England","Recovery","R04",17.139,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","West Suffolk","75221","Old Chicory Factory","Murfitts Industries Ltd","A15 : Material Recycling Treatment Facility",572480,286380,"IP27 9AD","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","end-of-life tyres","16 01 03","Treatment","Material Recycling Facility","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",520.32,"07 - Non-metallic wastes","Rubber wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Concrete - bricks - tiles and ceramics","concrete","17 01 01","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",1072,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Concrete - bricks - tiles and ceramics","bricks","17 01 02","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",4932,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Bituminous mixtures - coal tar and tarred products","bituminous mixtures other than those mentioned in 17 03 01","17 03 02","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",27,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","West Suffolk","400422","Lakenheath Recycling Facility","Sutton Services Limited","S0811 : Inert & excavation Waste TS + treatment",570800,282200,"IP27 9BX","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Soil (including excavated soil from contaminated sites) - stones and dredging spoil","soil and stones other than those mentioned in 17 05 03","17 05 04","Treatment","Inert Waste Transfer / Treatment","Cambridgeshire","Cambridgeshire","East of England","Recovery","R05",42,"12 - Mineral wastes","Naturally occurring minerals"
"East of England","Suffolk","Suffolk","West Suffolk","403610","Beck Row Dismantlers Ltd","Beck Row Dismantlers Ltd","S1517 No 17: Vehicle Depollution Facility",568549,278474,"IP28 2DN","Liquid","Hazardous","13 - OIL WASTES AND WASTES OF LIQUID FUELS","Waste engine - gear and lubricating oils","mineral-based non-chlorinated engine, gear and lubricating oils","13 02 05*","MRS","Vehicle depollution facility","Cambridgeshire","Cambridgeshire","East of England","Recovery","R03",3.357,"01 - Chemical compound wastes","Used oils"
