"Facility RPA","Facility Sub Region","Facility WPA","Facility District","Permit","Site Name","Operator","Permit Type","Easting","Northing","Post Code","Form","Basic Waste Cat","EWC Chapter","EWC Sub Chapter","EWC Waste Desc","Waste Code","Site Category","Facility Type","Recorded Origin","Origin WPA","Origin Region","Fate","R and D code","Tonnes Received","SOC Category","SOC Sub Category"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Cheshire West and Chester","Cheshire West and Chester","North West","Recovery","R04.05.01",3.56,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Cheshire West and Chester","Cheshire West and Chester","North West","Recovery","R05",3.62,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","East Sussex","East Sussex","South East","Recovery","R04.05",50.02,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","East Sussex","East Sussex","South East","Recovery","R04.05.01",50.5,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R04.05",336.41,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R04.05.01",69.07,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",632.2,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R04.05",2.25,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",2.25,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",4.11,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","end-of-life tyres","16 01 03","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",8.58,"07 - Non-metallic wastes","Rubber wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","paper and cardboard","19 12 01","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",99.3,"07 - Non-metallic wastes","Paper and cardboard wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","19 - WASTE AND WATER TREATMENT WASTES","Mechanical treatment of waste (for example sorting - crushing - compacting - pelletising) not otherwise specified","plastic and rubber","19 12 04","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",0.21,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","paper and cardboard","20 01 01","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",48.47,"07 - Non-metallic wastes","Paper and cardboard wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","wood other than that mentioned in 20 01 37","20 01 38","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",11.5,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","wood other than that mentioned in 20 01 37","20 01 38","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",18.475,"07 - Non-metallic wastes","Wood wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","plastics","20 01 39","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",1.54,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","plastics","20 01 39","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",22.69,"07 - Non-metallic wastes","Plastic wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Electrical and electronic equipment","components removed from discarded equipment other than those mentioned in 16 02 15","16 02 16","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",15.44,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Electrical and electronic equipment","components removed from discarded equipment other than those mentioned in 16 02 15","16 02 16","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",6.52,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",67.76,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",335.21,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Concrete - bricks - tiles and ceramics","bricks","17 01 02","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",1.96,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hazardous","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","other construction and demolition wastes (including mixed wastes) containing dangerous substances","17 09 03*","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",23.4,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","mixed construction and demolition wastes other than those mentioned in 17 09 01, 17 09 02 and 17 09 03","17 09 04","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R05",8.66,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","mixed construction and demolition wastes other than those mentioned in 17 09 01, 17 09 02 and 17 09 03","17 09 04","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Recovery","R13",14.16,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hazardous","17 - CONSTRUCTION AND DEMOLITION WASTES","Insulation materials and asbestos-containing construction materials","insulation materials containing asbestos","17 06 01*","Transfer","Non-Haz Waste Transfer","Essex","Essex","East of England","Transfer (D)","D13",0.76,"12 - Mineral wastes","Asbestos wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R04.05",1722.7,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R13",427.194,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Metals (including their alloys)","cables other than those mentioned in 17 04 10","17 04 11","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R13",2.1,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R04.05",2.09,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R13",4.878,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","Electrical and electronic equipment","components removed from discarded equipment other than those mentioned in 16 02 15","16 02 16","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R13",15.6,"08 - Discarded equipment","Discarded machines and equipment components"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Other municipal wastes","mixed municipal waste","20 03 01","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R13",6.14,"10 - Mixed ordinary wastes","Household and similar wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","mixed construction and demolition wastes other than those mentioned in 17 09 01, 17 09 02 and 17 09 03","17 09 04","Transfer","Non-Haz Waste Transfer","Greater London","East London Waste Authority","London","Recovery","R13",0.42,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Hertfordshire","Hertfordshire","East of England","Recovery","R05",10.72,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Inert/C+D","17 - CONSTRUCTION AND DEMOLITION WASTES","Other construction and demolition wastes","mixed construction and demolition wastes other than those mentioned in 17 09 01, 17 09 02 and 17 09 03","17 09 04","Transfer","Non-Haz Waste Transfer","Hertfordshire","Hertfordshire","East of England","Recovery","R13",8.98,"12 - Mineral wastes","Construction and demolition wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Kent","Kent","South East","Recovery","R04.05",471.55,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Kent","Kent","South East","Recovery","R04.05.01",87.585,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","16 - WASTES NOT OTHERWISE SPECIFIED IN THE LIST","End-of-life vehicles from different means of transport (including off-road machinery) and wastes from dismantling of end-of-life vehicles and vehicle maintenance (except 13 - 14 - 16 06 and 16 08)","non-ferrous metal","16 01 18","Transfer","Non-Haz Waste Transfer","Kent","Kent","South East","Recovery","R05",52.96,"06 - Metallic wastes","Non-ferrous metal waste and scrap"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Kent","Kent","South East","Recovery","R04.05",0.75,"06 - Metallic wastes","Mixed metal wastes"
"East of England","Suffolk","Suffolk","Mid Suffolk","100175","Debtrac Centre","Sackers Limited","A11 : Household, Commercial & Industrial  Waste Transfer Stn",609700,254010,"IP6 8DJ","Solid","Hhold/Ind/Com","20 - MUNICIPAL WASTES","Separately collected fractions (except 15 01)","metals","20 01 40","Transfer","Non-Haz Waste Transfer","Kent","Kent","South East","Recovery","R13",0.305,"06 - Metallic wastes","Mixed metal wastes"
